Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.47009266896933394+1.010439071601406j)           (-0.16582517512149694-0.038767241528890994j)       (-0.073477918960252+0.09289404010841235j)         
(0.5000000000000001-0.9999999999999999j)           (-0.16124112633026313+0.06804739776300169j)        (-0.09010495693205187-0.08630424105090427j)       
(0.47977695009817867-0.9900433939204433j)          (-0.1839682352598381+0.056329466393470265j)        (-0.08993659824442178-0.10208688054541477j)       
(0.4590955518113839-0.9801881073003278j)           (-0.20275210546046096+0.03841120062345375j)        (-0.08175785994507982-0.11827287801283957j)       
(0.43793744123759465-0.9704582435312359j)          (-0.22273382346695852+0.015184294804171803j)       (-0.07110446883875432-0.13891443322910196j)       
(0.41628452407762256-0.9608812647702797j)          (-0.24040573759663203-0.012685621681302434j)       (-0.05564020744956167-0.16094348942371164j)       
(0.39411938025160675-0.951488352997508j)           (-0.25516252614999774-0.044046123765899j)          (-0.03598574966127234-0.1836304477659532j)        
(0.37142578426528183-0.9423147633445417j)          (-0.2652171484560952-0.0795569828363686j)          (-0.009804006276411856-0.2072591957609381j)       
(0.3481893608828106-0.9334001451853219j)           (-0.27321221492956765-0.11776048779470986j)        (0.018016448201192477-0.23453904758618038j)       
(0.32439839365734163-0.9247887963245788j)          (-0.27430635566483613-0.1613747850853587j)         (0.05343440925420903-0.2669321910409844j)         
(0.3000447982276259-0.9165298036307693j)           (-0.2600457873145037-0.20138308026014737j)         (0.09952425178499977-0.289518046607693j)          
(0.27512526135016857-0.9086770105119851j)          (-0.23500618711595306-0.23856186009043656j)        (0.15026986866040196-0.3099113845875024j)         
(0.24964252865527026-0.9012887395909244j)          (-0.19725370673775-0.26807171125136264j)           (0.20551856363192625-0.3221963749140665j)         
(0.22360679774997874-0.8944271909999156j)          (-0.13958795848198996-0.2975654519410216j)         (0.2715487507223249-0.33959939840765424j)         
(0.19703713845661455-0.8881574375814071j)          (-0.07934617224357729-0.30933899571232354j)        (0.32690432860921004-0.3359919406373431j)         
(0.1699628210376837-0.8825459537809277j)           (-0.010345297987979951-0.307450434310357j)         (0.38289043338407935-0.3203670170730665j)         
(0.14242439229657017-0.8776586509122137j)          (0.05762117935732228-0.2816582677511132j)          (0.434254625386002-0.28449196582384j)             
(0.11447430893654918-0.8735584510532196j)          (0.1384034179247609-0.25185451055941765j)          (0.4889187632890255-0.24820147146907143j)         
(0.08617693148087133-0.8703025126468719j)          (0.19409991608633692-0.20650649138509614j)         (0.5239454936274393-0.19747813558478397j)         
(0.057607714418633604-0.8679393116805683j)         (0.23773544076587377-0.15070178526275455j)         (0.5505683580751862-0.13976649562190346j)         
(0.028851507054618118-0.866505862334077j)          (0.2708228009943661-0.06839339509482555j)          (0.5711973099014898-0.0655838704052249j)          
(5.127900497022838e-16+0.8660254037844385j)        (0.2783617216234569+4.14195980327348e-15j)         (0.5754332299199247+5.768691918263805e-15j)       
(0.02885150705461914+0.866505862334077j)           (0.27082280099436756+0.06839339509483447j)         (0.5711973099014954+0.06558387040523152j)         
(0.057607714418634624+0.8679393116805684j)         (0.2377354407658659+0.1507017852627498j)           (0.5505683580751812+0.13976649562189894j)         
(0.08617693148087233+0.870302512646872j)           (0.1940999160863501+0.2065064913850991j)           (0.5239454936274491+0.19747813558478486j)         
(0.1144743089365502+0.8735584510532197j)           (0.13840341792476915+0.2518545105594223j)          (0.48891876328903505+0.24820147146907234j)        
(0.14242439229657114+0.877658650912214j)           (0.05762117935734603+0.28165826775111835j)         (0.43425462538602194+0.2844919658238433j)         
(0.16996282103768467+0.8825459537809279j)          (-0.010345297987986666+0.3074504343103635j)        (0.38289043338407386+0.32036701707306947j)        
(0.19703713845661552+0.8881574375814072j)          (-0.07934617224358052+0.3093389957123267j)         (0.32690432860920765+0.33599194063734666j)        
(0.22360679774997966+0.8944271909999159j)          (-0.13958795848198768+0.29756545194100764j)        (0.2715487507223275+0.3395993984076416j)          
(0.24964252865527115+0.9012887395909247j)          (-0.19725370673774387+0.26807171125136736j)        (0.20551856363193702+0.3221963749140685j)         
(0.27512526135016946+0.9086770105119854j)          (-0.2350061871159463+0.23856186009044347j)         (0.15026986866041056+0.30991138458750694j)        
(0.30004479822762686+0.9165298036307695j)          (-0.2600457873145063+0.2013830802601464j)          (0.09952425178499445+0.28951804660768926j)        
(0.32439839365734247+0.9247887963245791j)          (-0.27430635566483635+0.16137478508535855j)        (0.05343440925420542+0.26693219104098165j)        
(0.34818936088281144+0.9334001451853222j)          (-0.2732122149295703+0.11776048779471607j)         (0.018016448201195624+0.23453904758619182j)       
(0.37142578426528267+0.942314763344542j)           (-0.26521714845609595+0.07955698283636353j)        (-0.009804006276415948+0.20725919576093543j)      
(0.39411938025160753+0.9514883529975083j)          (-0.25516252614999363+0.044046123765887346j)       (-0.03598574966127484+0.1836304477659379j)        
(0.4162845240776233+0.9608812647702801j)           (-0.24040573759663503+0.01268562168130205j)        (-0.05564020744956417+0.16094348942371367j)       
(0.4379374412375954+0.9704582435312362j)           (-0.2227338234669576-0.0151842948041786j)          (-0.0711044688387613+0.13891443322909405j)        
(0.4590955518113847+0.9801881073003281j)           (-0.20275210546046185-0.03841120062345042j)        (-0.08175785994507935+0.11827287801284134j)       
(0.47977695009817944+0.9900433939204436j)          (-0.18396823525984096-0.05632946639347205j)        (-0.08993659824442488+0.10208688054541808j)       
(0.5102232656266129-0.9799631527698809j)           (-0.17625651174647203+0.09084674994303613j)        (-0.10924873790528358-0.0906283710540375j)        
(0.48991957101170935-0.9695468972980612j)          (-0.1988202197037683+0.07626979311255935j)         (-0.10471374258999598-0.10783622066072686j)       
(0.4691350685565608-0.9592120268999804j)           (-0.21577088032867606+0.08599607584908343j)        (-0.1164172059162039-0.09871319505114287j)        
(0.44784806423454704-0.9489825544437742j)          (-0.24886909738450763+0.03631034309317467j)        (-0.09411178180444836-0.15092874611843876j)       
(0.4260367245164816-0.9388861968506791j)           (-0.2714867525881314+0.007684000063449388j)        (-0.08183613465385135-0.17610950858555027j)       
(0.4036794684116096-0.9289548499346346j)           (-0.2914064149379086-0.02774657115376325j)         (-0.06375955605581608-0.2047789429197848j)        
(0.3807554948133818-0.919225079526545j)            (-0.30638032660883224-0.0685556019985618j)         (-0.039543770810870564-0.2349720001077587j)       
(0.3572454749378499-0.909738604964948j)            (-0.31279453771245824-0.11321804749182614j)        (-0.007100106243779903-0.2638499773514036j)       
(0.33313244042669315-0.9005427379445375j)          (-0.3176527417328325-0.1670427344941469j)          (0.02742856191912529-0.30489596909663125j)        
(0.30840289455373354-0.8916907229354363j)          (-0.3085418908002077-0.22224927467238606j)         (0.0703956284271676-0.3419193076002921j)          
(0.2830481643680652-0.8832419053419799j)           (-0.278194399695954-0.2734733891187793j)           (0.1278299953359162-0.367756772675283j)           
(0.25706599235863703-0.8752616319863054j)          (-0.23280371787319482-0.32024984305002935j)        (0.1909718665272864-0.38831223063297476j)         
(0.23046233404816363-0.8678207691769811j)          (-0.17728499295154726-0.34539034470548674j)        (0.2522783843003172-0.3847731631768295j)          
(0.20325328056999004-0.8609947131443159j)          (-0.08427782713663123-0.38631373391828105j)        (0.3408996977937831-0.40346687363265543j)         
(0.17546696353785604-0.8548617755480677j)          (-7.179764268645788e-05-0.3880753805840858j)       (0.40882168571589605-0.3830320669299473j)         
(0.14714522990217024-0.8495008644392084j)          (0.08545268507982876-0.36953792581154j)            (0.47156278584290917-0.34765778941227005j)        
(0.11834481173260541-0.8449884581839124j)          (0.1906170955178738-0.3191055043188126j)           (0.545496962955362-0.2924125011725938j)           
(0.08913768328775856-0.8413949884459192j)          (0.25615609023372077-0.2635637082053805j)          (0.5861453262397974-0.2331831134636286j)          
(0.059610322875100305-0.8387808954627385j)         (0.3103450718000301-0.18984320028586613j)          (0.6190485168635984-0.163457294019656j)           
(0.029861701064322527-0.837192762265928j)          (0.3519217318871382-0.09042899335616204j)          (0.6444587490147301-0.0785385316095725j)          
(5.307881287095002e-16+0.8366600265340753j)        (0.3617960765447314+5.457079929428554e-15j)        (0.6500091657181886+5.8378155118398326e-15j)      
(0.029861701064323586+0.8371927622659281j)         (0.35192173188713494+0.09042899335615855j)         (0.6444587490147247+0.07853853160957196j)         
(0.05961032287510136+0.8387808954627386j)          (0.31034507180002185+0.18984320028587107j)         (0.6190485168635943+0.16345729401965944j)         
(0.0891376832877596+0.8413949884459193j)           (0.25615609023372415+0.2635637082053851j)          (0.5861453262398011+0.233183113463631j)           
(0.11834481173260646+0.8449884581839125j)          (0.19061709551787892+0.31910550431881096j)         (0.5454969629553665+0.2924125011725916j)          
(0.14714522990217127+0.8495008644392085j)          (0.08545268507983103+0.3695379258115481j)          (0.47156278584291267+0.347657789412273j)          
(0.17546696353785704+0.854861775548068j)           (-7.179764268906117e-05+0.3880753805840721j)       (0.40882168571589433+0.38303206692993785j)        
(0.203253280569991+0.8609947131443161j)            (-0.08427782713663631+0.38631373391828544j)        (0.3408996977937777+0.4034668736326631j)          
(0.2304623340481646+0.8678207691769814j)           (-0.17728499295154268+0.3453903447054886j)         (0.25227838430032096+0.384773163176833j)          
(0.257065992358638+0.8752616319863056j)            (-0.2328037178732028+0.32024984305003995j)         (0.1909718665272803+0.3883122306329877j)          
(0.28304816436806607+0.8832419053419802j)          (-0.2781943996959457+0.27347338911878016j)         (0.1278299953359286+0.36775677267528445j)         
(0.30840289455373443+0.8916907229354366j)          (-0.3085418908002123+0.22224927467238503j)         (0.07039562842716024+0.3419193076002954j)         
(0.33313244042669404+0.9005427379445379j)          (-0.31765274173283803+0.16704273449413984j)        (0.02742856191911452+0.3048959690966263j)         
(0.35724547493785075+0.9097386049649483j)          (-0.3127945377124478+0.11321804749183335j)         (-0.007100106243763795+0.26384997735140636j)      
(0.3807554948133826+0.9192250795265453j)           (-0.3063803266088395+0.06855560199855977j)         (-0.03954377081088106+0.23497200010776115j)       
(0.40367946841161045+0.928954849934635j)           (-0.29140641493790903+0.027746571153762577j)       (-0.0637595560558188+0.2047789429197815j)         
(0.42603672451648245+0.9388861968506794j)          (-0.2714867525881288-0.007684000063457447j)        (-0.0818361346538522+0.1761095085855356j)         
(0.4478480642345478+0.9489825544437746j)           (-0.2488690973845031-0.03631034309317949j)         (-0.09411178180444876+0.15092874611843246j)       
(0.46913506855656156+0.9592120268999808j)          (-0.2157708803286578-0.08599607584907612j)         (-0.116417205916183+0.0987131950511336j)          
(0.48991957101171013+0.9695468972980615j)          (-0.19882021970376312-0.07626979311256464j)        (-0.10471374258999502+0.10783622066071692j)       
(0.5209059628127022-0.9598661480091002j)           (-0.18833592763921256+0.11659201759935464j)        (-0.1276024750286649-0.09167614022615274j)        
(0.5005429268914575-0.9489695578157745j)           (-0.2160384078049165+0.10196998159322204j)         (-0.12551718266267248-0.11241250614112869j)       
(0.4796770609267895-0.9381311650187103j)           (-0.24445362816695274+0.0825211195805888j)         (-0.12107264069119264-0.13585581612262965j)       
(0.4582830609741292-0.9273744464755416j)           (-0.2713001599891696+0.06115782887888522j)         (-0.11526585701198114-0.1577261425817692j)        
(0.4363349667425332-0.9167268967376311j)           (-0.3066573763588823+0.03280976424028868j)         (-0.11335613146171154-0.19083635217520112j)       
(0.41380651400380364-0.9062206304382945j)          (-0.33190838158061403-0.004780553128948334j)       (-0.0979357332946909-0.22273526484614783j)        
(0.390671638801142-0.895893034554667j)             (-0.3543586456926562-0.051375385223223935j)        (-0.07684442919459314-0.26026521798907254j)       
(0.3669051754489923-0.8857874506738371j)           (-0.3690980495373124-0.10606897595066739j)         (-0.0473887070081996-0.30032774775201804j)        
(0.34248379570988935-0.8759538517090115j)          (-0.37787713623101105-0.16861242585314273j)        (-0.013756684933008816-0.34528499191816187j)      
(0.3173872384771636-0.8664494556222883j)           (-0.36705214476311215-0.24302068606521865j)        (0.03891299228897259-0.39408805313039963j)        
(0.291599874265093-0.8573391899775827j)            (-0.34144241663399894-0.3150968453378551j)         (0.09509975096571968-0.435376764242292j)          
(0.2651126317644018-0.8486958863580328j)           (-0.2867940021552694-0.38043291894224923j)         (0.1696037696971071-0.46204401628845965j)         
